OBJECTID,Código de localidad,Nombre de localidad,Dirección,Nombre del Sitio,Nombre del puesto,Número del puesto,Código del puesto,Long,Lat,CoorX,CoorY
611,9,FONTIBÓN,Calle 24 D No. 82 - 13 / Carrera 82 No. 24 C - 29 *,Modelia Real,Colegio Gimnasio Modelia Real,23,160010923,-74.12140296,4.670602093,-8251156.834,520505.8339
618,9,FONTIBÓN,Calle 22 G No. 117 A - 38,La Aldea,Sal√≥n Comunal la Aldea,24,160010924,-74.150029,4.688916,-8254343.471,522551.3479
617,9,FONTIBÓN,Carrera 124 No. 17 - 05,Van Uden Calle 13,Colegio Antonio Van Uden Sede C,25,160010925,-74.160905,4.688375,-8255554.181,522490.9218
477,9,FONTIBÓN,Avenida Carrera 116 No. 22I - 56,Atahualpa,Colegio Distrital Atahualpa,26,160010926,-74.1483,4.6883,-8254150.999,522482.5448
493,9,FONTIBÓN,Avenida Carrera 86 No. 19A - 50,Hayuelos - JUMBO,Parqueadero Supermercado JUMBO,27,160010927,-74.1323,4.6628,-8252369.887,519634.42
742,9,FONTIBÓN,Calle 22F No. 109B - 29,Integrado Sede B,Colegio Distrital Integrado - Sede B,28,160010928,-74.14624405,4.683119406,-8253922.132,521903.9098
743,9,FONTIBÓN,Carrera 106 No. 15A - 32,ACUNAR,Jard√≠n Infantil ACUNAR Sabana Grande,29,160010929,-74.15372824,4.672928979,-8254755.268,520765.7251
744,9,FONTIBÓN,Diagonal 15 D No. 98 - 40,Casa Pensamiento Intercultural,Casa Pensamiento Intercultural,30,160010930,-74.1517436,4.666352905,-8254534.339,520031.2419
745,9,FONTIBÓN,Calle 23 G No. 103 - 60 / Carrera 103 No. 23 G - 01 *,Colegio Luis √Ångel Arango,Colegio Distrital Luis √Ångel Arango,31,160010931,-74.13755125,4.681852694,-8252954.454,521762.4279
746,9,FONTIBÓN,Carrera 97 No. 22 G - 15,Ferrocaja,Colegio Distrital Villemar El Carmen Sede C.,32,160010932,-74.13840759,4.676020199,-8253049.781,521110.9865
747,9,FONTIBÓN,Calle 17 F No. 128 - 45,El Charco,Colegio Distrital Antonio Van √úden Sede B,33,160010933,-74.16143794,4.69248753,-8255613.509,522950.2649
748,9,FONTIBÓN,Calle 19 A No. 72 - 57,Multiplaza,Centro Comercial Multiplaza,34,160010934,-74.12499242,4.653330242,-8251556.411,518576.758
749,9,FONTIBÓN,Carrera 68 B No. 24 - 39,Salitre Plaza,Centro Comercial Salitre Plaza,35,160010935,-74.10918052,4.652714735,-8249796.239,518508.0135
750,9,FONTIBÓN,Calle 16 J No. 99 - 95,Pablo Neruda,Colegio Distrital Pablo Neruda Sede B,36,160010936,-74.14642966,4.672448641,-8253942.793,520712.0758
751,9,FONTIBÓN,Calle 17A No. 99 - 53,Cacique Hyntiba,Casa De La Cultura de Fontib√≥n Cacique Hyntiba,37,160010937,-74.14514482,4.672996707,-8253799.767,520773.2897
752,9,FONTIBÓN,Calle 15 No. 119 - 14 / Calle 15 No. 119 A - 90 *,Tres Estancias,Sal√≥n Comunal Tres Estancias,38,160010938,-74.16417606,4.682814584,-8255918.314,521869.8635
848,9,FONTIBÓN,Carrera 100 No. 24 - 60,San Jos√©,Colegio Privado Parroquial San Jos√©,39,160010939,-74.13355041,4.681714744,-8252509.082,521747.0199
849,9,FONTIBÓN,Carrera 100 No. 24 D - 65,El Jard√≠n,Sal√≥n Comunal San Jos√© - El Jard√≠n,40,160010940,-74.13252332,4.683248644153768a,-8252394.747,521918.345
850,9,FONTIBÓN,Calle 17 C No. 134 - 70 Manzana 1,Villa Andrea,Jard√≠n Infantil Villa Andrea,41,160010941,-74.16663542,4.695402256,-8256192.088,523275.8226
342,8,KENNEDY,Carrera 80 I No. 57 B - 50 Sur,Class,Colegio Distrital Class,1,160010801,-74.17890293,4.614181763,-8257557.702,514204.4781
343,8,KENNEDY,Calle 57 A Sur No. 78 N - 21,Roma,Colegio Distrital R√≥mulo Gallegos,2,160010802,-74.17402687,4.61042338,-8257014.901,513784.7376
